iter	Accuracy	Logloss
0	0.8633742505	0.6420984578
1	0.864518381	0.5980233037
2	0.8644725453	0.5600666612
3	0.8676916242	0.5280913637
4	0.867897885	0.5002916415
5	0.8678397089	0.4760186465
6	0.8677815328	0.4557026161
7	0.867938432	0.438073292
8	0.8709706422	0.4207203254
9	0.8724409116	0.4056171612
10	0.873019147	0.3925663734
11	0.8742267423	0.3813478854
12	0.8754836992	0.3717549822
13	0.8756335468	0.3632403199
14	0.8764162801	0.3545384444
15	0.878119254	0.3467003708
16	0.8787821093	0.3399571342
17	0.8791417435	0.3342122188
18	0.8795348731	0.3290434019
19	0.879920951	0.3245290599
20	0.8801148714	0.3202976696
21	0.8803528646	0.3166956455
22	0.8805943837	0.3134420082
23	0.8809469663	0.3105367772
24	0.8811567529	0.3079644125
25	0.881296023	0.3056232779
26	0.8814529223	0.3034206119
27	0.8820593643	0.3014542489
28	0.8821386954	0.299745213
29	0.8822532847	0.2981477656
30	0.8824789376	0.2966247568
31	0.8830501214	0.2951933456
32	0.8833339504	0.2938475985
33	0.8835120046	0.2925626321
34	0.8836953475	0.2914472028
35	0.8838328547	0.2904085051
36	0.8839721248	0.2894475566
37	0.884190726	0.288522739
38	0.8843247074	0.2877105598
39	0.8846279284	0.286854716
40	0.8847125482	0.2860962161
41	0.8848553442	0.2853342683
42	0.8850422129	0.2846580547
43	0.8850175322	0.2839846511
44	0.8851585652	0.2833991228
45	0.8852678658	0.2828080112
46	0.8854776524	0.2822493487
47	0.8856698099	0.2817637551
48	0.8856380775	0.2812546346
49	0.885729749	0.2808468176
50	0.8857385635	0.2804641271
51	0.8858425754	0.2799840135
52	0.8859800826	0.2795799962
53	0.885951876	0.2792205799
54	0.8859677422	0.2788610769
55	0.8859888972	0.2785620347
56	0.8860453104	0.2782525409
57	0.8860840945	0.2779220846
58	0.8861299302	0.277632646
59	0.8861493222	0.2773723684
60	0.8862057355	0.2771223979
61	0.8862462825	0.276854321
62	0.8862692003	0.2766065127
63	0.886376738	0.2763701507
64	0.8864507804	0.2761548568
65	0.8864684095	0.2759436117
66	0.886519534	0.2757330302
67	0.886498379	0.2755553681
68	0.8865495035	0.275371688
69	0.8865953392	0.2751854754
70	0.8866217829	0.2750220516
71	0.8865547922	0.2748629567
72	0.8865829988	0.2747136671
73	0.8865741843	0.2745759212
74	0.8866235458	0.2744316873
75	0.8866676186	0.2742962298
76	0.8866764332	0.2741728487
77	0.8866975882	0.2740441724
78	0.8867257948	0.2739376875
79	0.8867769192	0.2738298303
80	0.8867998371	0.2737171997
81	0.8868104146	0.2736072826
82	0.8868245179	0.2735052914
83	0.8868862198	0.2734132991
84	0.886903849	0.273330621
85	0.8869250039	0.273238445
86	0.8869197152	0.2731500915
87	0.8869320556	0.2730658665
88	0.8869796542	0.2729725134
89	0.886984943	0.2728969468
90	0.8869972834	0.2728277675
91	0.8870360674	0.2727424192
92	0.8870413562	0.2726775187
93	0.8870607482	0.2726105543
94	0.8871030581	0.2725468484
95	0.8871118727	0.272485006
96	0.8871347906	0.2724174757
97	0.8871647601	0.272355467
98	0.8871753376	0.2722935992
99	0.8871700488	0.2722300647
100	0.8871612343	0.272180578
101	0.8871929667	0.2721337442
102	0.8871841521	0.2720837106
103	0.8872141216	0.2720406102
104	0.887226462	0.2719884741
105	0.8872599574	0.2719372457
106	0.8872899269	0.2718967999
107	0.8872405653	0.2718356884
108	0.887307556	0.2717930073
109	0.8873234222	0.2717372667
110	0.8873198964	0.2716824044
111	0.8873057931	0.2716424729
112	0.8873005044	0.2715958092
113	0.8873251851	0.2715510346
114	0.8873251851	0.2715097446
115	0.8873604434	0.2714454356
116	0.8873727838	0.2714064665
117	0.8874168566	0.2713652107
118	0.8874239083	0.2713302148
119	0.8874150937	0.2713051696
120	0.8874239083	0.2712605575
121	0.8874274341	0.2712274836
122	0.8874433003	0.2711913906
123	0.8874468261	0.2711544461
124	0.8874468261	0.2711119984
125	0.887450352	0.2710816522
126	0.8874767957	0.2710484494
127	0.8874838473	0.2710103038
128	0.8874944248	0.2709813661
129	0.887490899	0.2709479026
130	0.8875067652	0.2708874311
131	0.8875455493	0.2708601031
132	0.8875349718	0.2708297463
133	0.8875279201	0.2707996247
134	0.8875279201	0.2707569924
135	0.8875384976	0.2707266832
136	0.8875455493	0.2707031245
137	0.8875631784	0.2706818394
138	0.8875614155	0.270656413
139	0.8875631784	0.2706292934
140	0.8875543638	0.2706116598
141	0.8875596526	0.2705923077
142	0.8875684671	0.2705723973
143	0.8875808075	0.2705454188
144	0.88757023	0.2705246795
145	0.8875843333	0.2705028676
146	0.8875931479	0.2704824227
147	0.8875860963	0.2704633516
148	0.887591385	0.2704516434
149	0.8875966737	0.2704352198
150	0.8876178287	0.270413512
151	0.8875949108	0.2703946978
152	0.8876090141	0.2703772301
153	0.887610777	0.2703272435
154	0.8876425095	0.2703076122
155	0.8876301691	0.2702917267
156	0.8876354578	0.2702749646
157	0.8876336949	0.2702593626
158	0.887651324	0.2702456342
159	0.8876707161	0.2702137806
160	0.8876760048	0.2701708511
161	0.887691871	0.2701471384
162	0.8876901081	0.2701329003
163	0.8877112631	0.2701106243
164	0.887713026	0.2700919515
165	0.8877077372	0.2700752327
166	0.8877165518	0.2700556398
167	0.8877412326	0.2700418324
168	0.8877165518	0.2700024155
169	0.8877165518	0.2699903197
170	0.8877200776	0.2699780236
171	0.8877147889	0.2699610714
172	0.8877306551	0.2699499282
173	0.8877500472	0.2699343348
174	0.8877659134	0.2699110175
175	0.8877447584	0.2698947241
176	0.8877570988	0.269880455
177	0.8877782538	0.2698677247
178	0.8877747279	0.269848448
179	0.8877623875	0.2698409636
180	0.8877888312	0.2698329407
181	0.8878011716	0.2698209089
182	0.8878064604	0.2698092385
183	0.8878170378	0.2697998487
184	0.88779412	0.2697727587
185	0.8878011716	0.2697481004
186	0.8878381928	0.2697257592
187	0.8878417186	0.2697099463
188	0.887854059	0.2696934744
189	0.8878734511	0.2696819445
190	0.8878593478	0.2696699298
191	0.8878646365	0.2696577739
192	0.8878734511	0.2696410101
193	0.8878857915	0.2696256127
194	0.8878928431	0.2696210824
195	0.8878840285	0.2696117603
196	0.8878857915	0.2695977265
197	0.8878998948	0.2695865469
198	0.8878734511	0.2695770942
199	0.8878716881	0.2695679523
200	0.8878822656	0.2695571527
