iter	Passed	Remaining
0	183	183459
1	279	139396
2	362	120367
3	452	112560
4	534	106439
5	620	102863
6	697	98995
7	795	98623
8	875	96372
9	971	96162
10	1053	94738
11	1140	93919
12	1220	92676
13	1322	93145
14	1407	92446
15	1482	91200
16	1555	89972
17	1629	88893
18	1695	87519
19	1765	86493
20	1848	86160
21	1927	85678
22	1998	84909
23	2072	84265
24	2160	84266
25	2236	83789
26	2322	83712
27	2406	83556
28	2490	83388
29	2574	83254
30	2641	82555
31	2735	82756
32	2816	82544
33	2893	82210
34	2969	81879
35	3055	81818
36	3142	81785
37	3221	81551
38	3323	81884
39	3415	81973
40	3513	82171
41	3602	82165
42	3686	82049
43	3770	81912
44	3872	82184
45	3945	81834
46	4032	81771
47	4116	81635
48	4202	81560
49	4296	81630
50	4376	81437
51	4475	81589
52	4565	81582
53	4656	81572
54	4750	81626
55	4839	81576
56	4945	81823
57	5025	81613
58	5100	81356
59	5185	81246
60	5262	81012
61	5354	81004
62	5439	80896
63	5522	80764
64	5614	80766
65	5691	80545
66	5782	80517
67	5860	80321
68	5943	80187
69	6034	80168
70	6117	80040
71	6210	80040
72	6303	80048
73	6391	79974
74	6476	79880
75	6560	79761
76	6654	79764
77	6752	79815
78	6841	79763
79	6943	79853
80	7031	79774
81	7131	79839
82	7219	79766
83	7292	79521
84	7377	79412
85	7458	79273
86	7555	79287
87	7655	79341
88	7748	79317
89	7829	79166
90	7917	79088
91	8007	79030
92	8102	79019
93	8185	78894
94	8268	78764
95	8369	78809
96	8452	78685
97	8528	78494
98	8620	78458
99	8713	78419
100	8812	78438
101	8898	78344
102	8979	78198
103	9075	78192
104	9172	78181
105	9260	78101
106	9345	77997
107	9436	77940
108	9540	77986
109	9635	77963
110	9720	77850
111	9798	77689
112	9887	77609
113	9976	77537
114	10068	77487
115	10157	77409
116	10241	77294
117	10325	77181
118	10428	77207
119	10504	77035
120	10590	76934
121	10673	76811
122	10760	76724
123	10855	76686
124	10968	76781
125	11062	76738
126	11141	76589
127	11229	76502
128	11333	76525
129	11423	76452
130	11527	76467
131	11633	76496
132	11741	76541
133	11828	76445
134	11924	76405
135	12017	76343
136	12106	76260
137	12193	76163
138	12286	76105
139	12375	76021
140	12456	75886
141	12542	75782
142	12637	75738
143	12727	75657
144	12815	75565
145	12904	75481
146	12986	75355
147	13076	75276
148	13154	75129
149	13242	75042
150	13332	74962
151	13422	74881
152	13510	74794
153	13608	74755
154	13699	74683
155	13787	74592
156	13877	74511
157	13969	74445
158	14064	74392
159	14155	74317
160	14254	74281
161	14363	74300
162	14458	74242
163	14546	74151
164	14660	74192
165	14745	74081
166	14835	73999
167	14934	73963
168	15022	73867
169	15132	73881
170	15217	73775
171	15314	73720
172	15405	73644
173	15506	73611
174	15593	73513
175	15693	73476
176	15786	73401
177	15884	73356
178	15986	73322
179	16069	73204
180	16165	73144
181	16261	73089
182	16361	73047
183	16449	72948
184	16549	72907
185	16633	72794
186	16748	72815
187	16857	72809
188	16950	72736
189	17052	72697
190	17153	72655
191	17251	72599
192	17353	72562
193	17452	72509
194	17545	72432
195	17635	72340
196	17720	72230
197	17826	72207
198	17915	72114
199	18010	72042
200	18086	71895
201	18182	71828
202	18272	71737
203	18370	71681
204	18486	71689
205	18596	71677
206	18660	71485
207	18752	71401
208	18853	71354
209	18962	71333
210	19056	71260
211	19155	71199
212	19255	71145
213	19371	71149
214	19482	71135
215	19594	71119
216	19685	71030
217	19776	70941
218	19881	70901
219	19968	70795
220	20074	70761
221	20168	70680
222	20271	70633
223	20378	70597
224	20480	70543
225	20581	70488
226	20671	70391
227	20774	70342
228	20874	70281
229	20975	70223
230	21079	70174
231	21181	70119
232	21289	70083
233	21386	70008
234	21499	69986
235	21591	69898
236	21695	69846
237	21801	69802
238	21919	69794
239	22020	69732
240	22112	69641
241	22218	69592
242	22327	69555
243	22424	69479
244	22513	69378
245	22612	69307
246	22707	69225
247	22800	69137
248	22900	69070
249	22996	68989
250	23088	68897
251	23173	68783
252	23268	68700
253	23358	68602
254	23450	68512
255	23548	68438
256	23676	68451
257	23773	68373
258	23876	68310
259	23978	68246
260	24085	68196
261	24187	68132
262	24277	68033
263	24383	67978
264	24474	67881
265	24544	67727
266	24647	67666
267	24745	67587
268	24858	67553
269	24951	67460
270	25048	67381
271	25133	67269
272	25245	67229
273	25356	67186
274	25460	67123
275	25555	67037
276	25652	66955
277	25755	66888
278	25858	66824
279	25951	66732
280	26045	66643
281	26142	66560
282	26262	66538
283	26351	66435
284	26441	66335
285	26554	66292
286	26662	66239
287	26782	66213
288	26893	66163
289	26981	66057
290	27083	65987
291	27173	65886
292	27283	65834
293	27373	65733
294	27490	65698
295	27599	65642
296	27712	65596
297	27826	65551
298	27936	65497
299	28038	65422
300	28152	65376
301	28257	65309
302	28365	65250
303	28454	65145
304	28555	65069
305	28668	65020
306	28786	64979
307	28886	64901
308	29001	64855
309	29109	64792
310	29203	64697
311	29308	64627
312	29432	64601
313	29537	64530
314	29653	64485
315	29763	64424
316	29875	64369
317	29976	64288
318	30094	64245
319	30212	64201
320	30321	64139
321	30442	64099
322	30547	64026
323	30630	63907
324	30723	63810
325	30803	63684
326	30892	63579
327	31003	63518
328	31102	63433
329	31202	63351
330	31284	63230
331	31402	63183
332	31512	63118
333	31625	63061
334	31732	62991
335	31856	62955
336	31956	62870
337	32054	62780
338	32156	62700
339	32272	62645
340	32383	62583
341	32505	62539
342	32592	62429
343	32700	62359
344	32796	62266
345	32897	62182
346	33024	62146
347	33123	62059
348	33229	61984
349	33332	61903
350	33398	61753
351	33494	61660
352	33590	61565
353	33664	61432
354	33774	61365
355	33881	61290
356	33968	61180
357	34058	61077
358	34126	60933
359	34221	60838
360	34332	60770
361	34445	60707
362	34540	60611
363	34631	60510
364	34702	60372
365	34793	60270
366	34889	60176
367	34981	60076
368	35091	60007
369	35198	59932
370	35304	59855
371	35373	59716
372	35448	59588
373	35524	59460
374	35637	59395
375	35738	59309
376	35838	59223
377	35937	59135
378	36058	59081
379	36158	58996
380	36264	58918
381	36371	58841
382	36467	58748
383	36574	58671
384	36686	58603
385	36754	58463
386	36877	58413
387	36977	58325
388	37078	58238
389	37148	58103
390	37243	58009
391	37329	57898
392	37439	57826
393	37530	57725
394	37599	57589
395	37671	57458
396	37747	57334
